field,age_floor,age_ceiling,sex,n,mean,sd
lowfaceheight,24,25,1,48,72.15,5.11
lowfaceheight,24,25,3,136,68.04,5.46
incanthwidth,24,25,1,48,33.24,3.37
incanthwidth,24,25,3,136,32.11,2.85
outcanthwidth,24,25,1,47,88.63,4.28
outcanthwidth,24,25,3,134,86.86,4.2
palpfislength_r,24,25,1,47,28.54,1.86
palpfislength_r,24,25,3,134,28.24,1.85
palpfislength_l,24,25,1,47,28.31,1.87
palpfislength_l,24,25,3,134,28.01,1.99
nasalwidth,24,25,1,48,36.45,2.38
nasalwidth,24,25,3,136,33.74,3.05
subnasalwidth,24,25,1,48,19.47,2.45
subnasalwidth,24,25,3,136,17.93,2.48
nasalpro,24,25,1,48,21.03,1.81
nasalpro,24,25,3,136,20.2,1.82
nasalalalength_r,24,25,1,48,35.54,1.9
nasalalalength_r,24,25,3,136,32.76,2.74
nasalalalength_l,24,25,1,48,35.36,2.01
nasalalalength_l,24,25,3,136,32.73,2.71
nasalheight,24,25,1,48,56.77,3.62
nasalheight,24,25,3,136,55.17,4.03
nasalbdglength,24,25,1,48,49.95,3.46
nasalbdglength,24,25,3,136,48.09,3.83
labfiswidth,24,25,1,48,51.62,4.02
labfiswidth,24,25,3,136,49.72,3.99
philwidth,24,25,1,48,13.21,1.77
philwidth,24,25,3,136,12.31,1.83
phillength,24,25,1,48,15.73,2.77
phillength,24,25,3,136,14.61,2.53
uplipheight,24,25,1,48,22.2,2.58
uplipheight,24,25,3,136,21.12,2.48
lowlipheight,24,25,1,48,18.36,2.67
lowlipheight,24,25,3,136,17.57,2.35
upvermheight,24,25,1,48,7.83,1.63
upvermheight,24,25,3,136,7.73,1.41
lowvermheight,24,25,1,48,8.86,1.94
lowvermheight,24,25,3,136,8.67,1.81
cutlowlipheight,24,25,1,48,11.68,2.53
cutlowlipheight,24,25,3,136,10.82,2.3
maxcranwidth,24,25,2,83,145.99,5.1
minfrntwidth,24,25,2,83,106.55,8.04
maxfacewidth,24,25,2,83,130.05,5.25
mandwidth,24,25,2,83,96.77,5.48
maxcranlength,24,25,2,83,187.4,5.82
cranbasewidth,24,25,2,85,139.51,5.14
upfacedepth_r,24,25,2,88,118.82,4.79
upfacedepth_l,24,25,2,85,118.88,5.38
midfacedepth_r,24,25,2,88,124.05,4.88
midfacedepth_l,24,25,2,85,124.02,5.55
lowfacedepth_r,24,25,2,88,140.33,5.73
lowfacedepth_l,24,25,2,85,140.18,5.95
morphfaceheight,24,25,2,88,117.72,5.83
upfaceheight,24,25,2,88,73.97,4.55
lowfaceheight,24,25,2,88,65.8,4.21
incanthwidth,24,25,2,88,31.49,2.32
outcanthwidth,24,25,2,87,85.9,3.85
palpfislength_r,24,25,2,87,28.08,1.83
palpfislength_l,24,25,2,87,27.85,2.05
nasalwidth,24,25,2,88,32.26,2.26
subnasalwidth,24,25,2,88,17.09,2.07
nasalpro,24,25,2,88,19.75,1.67
nasalalalength_r,24,25,2,88,31.24,1.78
nasalalalength_l,24,25,2,88,31.29,1.82
nasalheight,24,25,2,88,54.3,3.99
nasalbdglength,24,25,2,88,47.08,3.65
labfiswidth,24,25,2,88,48.69,3.59
philwidth,24,25,2,88,11.83,1.68
phillength,24,25,2,88,13.99,2.17
uplipheight,24,25,2,88,20.53,2.23
lowlipheight,24,25,2,88,17.14,2.04
upvermheight,24,25,2,88,7.67,1.28
lowvermheight,24,25,2,88,8.56,1.74
cutlowlipheight,24,25,2,88,10.36,2.04
maxcranwidth,25,26,2,80,145.59,5.4
maxcranwidth,25,26,3,137,148.03,6.13
minfrntwidth,25,26,2,80,106.76,8.5
minfrntwidth,25,26,3,137,109.83,9.43
maxfacewidth,25,26,2,70,129.34,6.21
maxfacewidth,25,26,3,127,132.54,7.35
mandwidth,25,26,2,78,96.31,7.49
mandwidth,25,26,3,134,99.89,8.27
maxcranlength,25,26,2,80,186.56,5.8
maxcranlength,25,26,3,137,191.65,8.48
cranbasewidth,25,26,2,82,138.83,4.83
cranbasewidth,25,26,3,140,142.39,6.54
upfacedepth_r,25,26,2,82,117.73,4.35
upfacedepth_r,25,26,3,140,121.24,5.97
upfacedepth_l,25,26,2,82,117.69,4.53
upfacedepth_l,25,26,3,140,120.92,5.9
midfacedepth_r,25,26,2,82,123.41,4.64
midfacedepth_r,25,26,3,140,127.3,6.63
midfacedepth_l,25,26,2,82,123.11,4.68
midfacedepth_l,25,26,3,140,126.54,6.44
lowfacedepth_r,25,26,2,80,138.41,6.7
lowfacedepth_r,25,26,3,137,144.37,9.57
lowfacedepth_l,25,26,2,80,138.31,6.15
lowfacedepth_l,25,26,3,137,143.81,8.91
morphfaceheight,25,26,2,80,118.7,6.29
morphfaceheight,25,26,3,137,122.41,7.42
upfaceheight,25,26,2,82,74.14,4.21
upfaceheight,25,26,3,141,75.85,4.51
lowfaceheight,25,26,2,80,67.05,5.6
lowfaceheight,25,26,3,137,69.44,5.88
incanthwidth,25,26,2,82,30.69,2.84
incanthwidth,25,26,3,141,31.69,3.19
outcanthwidth,25,26,2,81,85.22,3.79
outcanthwidth,25,26,3,138,86.91,4.37
palpfislength_r,25,26,2,81,28.2,1.73
palpfislength_r,25,26,3,139,28.51,1.78
palpfislength_l,25,26,2,81,27.82,1.87
palpfislength_l,25,26,3,138,28.19,1.9
nasalwidth,25,26,2,82,32.37,2.19
nasalwidth,25,26,3,141,33.79,2.89
subnasalwidth,25,26,2,82,16.9,2.11
subnasalwidth,25,26,3,140,17.96,2.59
nasalpro,25,26,2,82,19.56,1.85
nasalpro,25,26,3,141,20.11,2.11
nasalalalength_r,25,26,2,82,31.37,1.8
nasalalalength_r,25,26,3,141,32.95,2.7
nasalalalength_l,25,26,2,82,31.58,1.64
nasalalalength_l,25,26,3,141,33.04,2.57
nasalheight,25,26,2,82,54.55,3.95
nasalheight,25,26,3,141,55.6,4.17
nasalbdglength,25,26,2,82,47.51,3.61
nasalbdglength,25,26,3,141,48.6,3.91
labfiswidth,25,26,2,82,48.15,3.37
labfiswidth,25,26,3,141,49.36,3.8
philwidth,25,26,2,82,11.84,1.68
philwidth,25,26,3,141,12.36,1.75
phillength,25,26,2,82,14.19,2.17
phillength,25,26,3,141,14.99,2.48
uplipheight,25,26,2,82,20.62,2.43
uplipheight,25,26,3,141,21.29,2.58
lowlipheight,25,26,2,82,18.27,2.57
lowlipheight,25,26,3,139,18.63,2.7
upvermheight,25,26,2,82,7.56,1.42
upvermheight,25,26,3,141,7.53,1.66
lowvermheight,25,26,2,82,9.15,2.13
lowvermheight,25,26,3,141,8.95,2.18
cutlowlipheight,25,26,2,82,10.99,2.3
cutlowlipheight,25,26,3,139,11.57,2.51
maxcranwidth,25,26,1,57,151.46,5.46
minfrntwidth,25,26,1,57,114.14,9.03
maxfacewidth,25,26,1,57,136.46,6.77
mandwidth,25,26,1,56,104.88,6.57
maxcranlength,25,26,1,57,198.79,6.21
cranbasewidth,25,26,1,58,147.43,5.19
upfacedepth_r,25,26,1,58,126.2,4.16
upfacedepth_l,25,26,1,58,125.48,4.42
midfacedepth_r,25,26,1,58,132.8,4.9
midfacedepth_l,25,26,1,58,131.39,5.4
lowfacedepth_r,25,26,1,57,152.74,6.08
lowfacedepth_l,25,26,1,57,151.54,5.96
morphfaceheight,25,26,1,57,127.62,5.52
upfaceheight,25,26,1,59,78.22,3.82
lowfaceheight,25,26,1,57,72.79,4.49
incanthwidth,25,26,1,59,33.08,3.15
outcanthwidth,25,26,1,57,89.31,4.02
palpfislength_r,25,26,1,58,28.95,1.78
palpfislength_l,25,26,1,57,28.71,1.84
nasalwidth,25,26,1,59,35.77,2.59
subnasalwidth,25,26,1,58,19.45,2.49
nasalpro,25,26,1,59,20.87,2.22
nasalalalength_r,25,26,1,59,35.14,2.15
nasalalalength_l,25,26,1,59,35.07,2.23
nasalheight,25,26,1,59,57.07,4.05
nasalbdglength,25,26,1,59,50.11,3.83
labfiswidth,25,26,1,59,51.04,3.73
philwidth,25,26,1,59,13.08,1.6
phillength,25,26,1,59,16.09,2.48
uplipheight,25,26,1,59,22.22,2.51
lowlipheight,25,26,1,57,19.16,2.82
upvermheight,25,26,1,59,7.49,1.96
lowvermheight,25,26,1,59,8.67,2.24
cutlowlipheight,25,26,1,57,12.4,2.58
maxcranwidth,26,27,2,62,144.98,4.91
maxcranwidth,26,27,3,112,148.04,6.03
minfrntwidth,26,27,2,62,107.23,9.37
minfrntwidth,26,27,3,112,111.14,10.11
maxfacewidth,26,27,2,58,129.74,5.19
maxfacewidth,26,27,3,107,133.14,6.31
mandwidth,26,27,2,61,95.39,7.88
mandwidth,26,27,3,111,100.23,9.1
maxcranlength,26,27,2,62,186.53,6.21
maxcranlength,26,27,3,112,191.55,8.68
cranbasewidth,26,27,2,64,138.26,4.27
cranbasewidth,26,27,3,114,142.61,6.75
upfacedepth_r,26,27,2,64,118.45,4.45
upfacedepth_r,26,27,3,114,121.69,6.02
upfacedepth_l,26,27,2,64,118.44,4.3
upfacedepth_l,26,27,3,114,121.62,5.95
midfacedepth_r,26,27,2,64,122.71,4.39
midfacedepth_r,26,27,3,114,126.69,6.41
midfacedepth_l,26,27,2,64,122.32,4.31
midfacedepth_l,26,27,3,114,126.17,6.26
lowfacedepth_r,26,27,2,63,137.44,5.25
lowfacedepth_r,26,27,3,110,143.83,9.25
lowfacedepth_l,26,27,2,63,137.29,5.15
lowfacedepth_l,26,27,3,110,143.4,9.17
morphfaceheight,26,27,2,63,118.21,6.75
morphfaceheight,26,27,3,110,121.83,7.67
upfaceheight,26,27,2,64,74.09,5.19
upfaceheight,26,27,3,114,75.7,5.06
lowfaceheight,26,27,2,63,66.12,5.04
lowfaceheight,26,27,3,110,68.92,5.72
incanthwidth,26,27,2,64,31.57,2.52
incanthwidth,26,27,3,114,32.02,2.67
outcanthwidth,26,27,2,64,85.56,3.34
outcanthwidth,26,27,3,113,86.73,3.6
palpfislength_r,26,27,2,64,27.85,1.7
palpfislength_r,26,27,3,113,28.09,1.68
palpfislength_l,26,27,2,64,27.59,1.79
palpfislength_l,26,27,3,113,27.94,1.83
nasalwidth,26,27,2,64,31.84,2.25
nasalwidth,26,27,3,114,33.7,3.13
subnasalwidth,26,27,2,63,17.32,2.14
subnasalwidth,26,27,3,113,18.4,2.7
nasalpro,26,27,2,64,20.17,1.8
nasalpro,26,27,3,114,20.4,1.84
nasalalalength_r,26,27,2,64,31.39,2.11
nasalalalength_r,26,27,3,114,33.01,2.73
nasalalalength_l,26,27,2,64,31.48,2.17
nasalalalength_l,26,27,3,114,33.02,2.76
nasalheight,26,27,2,64,54.75,4.48
nasalheight,26,27,3,114,55.38,4.27
nasalbdglength,26,27,2,64,47.61,3.83
nasalbdglength,26,27,3,114,48.38,3.79
labfiswidth,26,27,2,64,47.9,3.86
labfiswidth,26,27,3,114,49.13,3.91
philwidth,26,27,2,64,11.83,1.88
philwidth,26,27,3,114,12.55,1.93
phillength,26,27,2,64,14,2.54
phillength,26,27,3,114,14.91,2.54
uplipheight,26,27,2,64,20.3,2.89
uplipheight,26,27,3,114,21.28,2.74
lowlipheight,26,27,2,64,17.66,2.06
lowlipheight,26,27,3,113,18.25,2.52
upvermheight,26,27,2,64,7.51,1.67
upvermheight,26,27,3,114,7.59,1.53
lowvermheight,26,27,2,64,8.71,1.66
lowvermheight,26,27,3,114,8.61,1.92
cutlowlipheight,26,27,2,64,10.81,2.04
cutlowlipheight,26,27,3,113,11.55,2.43
maxcranwidth,26,27,1,50,151.84,5.07
minfrntwidth,26,27,1,50,116,8.88
maxfacewidth,26,27,1,49,137.16,5.05
mandwidth,26,27,1,50,106.14,6.73
maxcranlength,26,27,1,50,197.78,7.17
cranbasewidth,26,27,1,50,148.17,5.03
upfacedepth_r,26,27,1,50,125.84,5.18
upfacedepth_l,26,27,1,50,125.69,5.26
midfacedepth_r,26,27,1,50,131.79,4.77
midfacedepth_l,26,27,1,50,131.1,4.73
lowfacedepth_r,26,27,1,47,152.38,5.9
lowfacedepth_l,26,27,1,47,151.6,6.61
morphfaceheight,26,27,1,47,126.68,6
upfaceheight,26,27,1,50,77.77,4.07
lowfaceheight,26,27,1,47,72.67,4.26
incanthwidth,26,27,1,50,32.58,2.77
outcanthwidth,26,27,1,49,88.27,3.36
palpfislength_r,26,27,1,49,28.39,1.62
palpfislength_l,26,27,1,49,28.38,1.8
nasalwidth,26,27,1,50,36.07,2.41
subnasalwidth,26,27,1,50,19.77,2.73
nasalpro,26,27,1,50,20.69,1.88
nasalalalength_r,26,27,1,50,35.09,1.88
nasalalalength_l,26,27,1,50,35,2.12
nasalheight,26,27,1,50,56.18,3.88
nasalbdglength,26,27,1,50,49.36,3.54
labfiswidth,26,27,1,50,50.7,3.39
philwidth,26,27,1,50,13.46,1.58
phillength,26,27,1,50,16.08,2.02
uplipheight,26,27,1,50,22.53,1.94
lowlipheight,26,27,1,49,19.03,2.85
upvermheight,26,27,1,50,7.68,1.34
lowvermheight,26,27,1,50,8.48,2.22
cutlowlipheight,26,27,1,49,12.51,2.59
maxcranwidth,27,28,1,36,152.94,4.79
maxcranwidth,27,28,3,106,148.54,6.11
minfrntwidth,27,28,1,37,112.76,10.33
minfrntwidth,27,28,3,107,106.69,9.11
maxfacewidth,27,28,1,34,138.94,7.31
maxfacewidth,27,28,3,104,132.74,7.36
mandwidth,27,28,1,37,105.11,6.15
mandwidth,27,28,3,105,100.02,11.66
maxcranlength,27,28,1,37,199.14,7.84
maxcranlength,27,28,3,107,191.77,8.48
cranbasewidth,27,28,1,36,148.49,6.3
cranbasewidth,27,28,3,106,141.95,7.01
upfacedepth_r,27,28,1,37,127.97,5.28
upfacedepth_r,27,28,3,107,122.41,6
upfacedepth_l,27,28,1,36,126.96,4.2
upfacedepth_l,27,28,3,108,121.87,5.31
midfacedepth_r,27,28,1,37,133.87,5.41
midfacedepth_r,27,28,3,107,127.82,6.44
midfacedepth_l,27,28,1,36,132.74,4.84
midfacedepth_l,27,28,3,108,127.2,5.95
lowfacedepth_r,27,28,1,34,152.4,6.71
lowfacedepth_r,27,28,3,103,144.56,8.25
lowfacedepth_l,27,28,1,34,151.8,6.12
lowfacedepth_l,27,28,3,104,143.93,8.08
morphfaceheight,27,28,1,34,126.9,5.7
morphfaceheight,27,28,3,105,121.52,6.96
upfaceheight,27,28,1,37,77.92,4.45
upfaceheight,27,28,3,110,76.15,4.48
lowfaceheight,27,28,1,34,73.2,4.87
lowfaceheight,27,28,3,105,68.14,6.02
incanthwidth,27,28,1,37,32.73,3.06
incanthwidth,27,28,3,110,31.88,3.06
outcanthwidth,27,28,1,37,89.17,4.4
outcanthwidth,27,28,3,107,86.67,4.55
palpfislength_r,27,28,1,37,29.1,2.11
palpfislength_r,27,28,3,107,28.3,1.99
palpfislength_l,27,28,1,37,28.66,2.08
palpfislength_l,27,28,3,107,27.9,1.97
nasalwidth,27,28,1,37,35.48,2.4
nasalwidth,27,28,3,110,33.59,2.73
subnasalwidth,27,28,1,37,19.54,3.17
subnasalwidth,27,28,3,110,18.4,2.67
nasalpro,27,28,1,37,20.66,1.65
nasalpro,27,28,3,110,20.4,2.05
nasalalalength_r,27,28,1,37,35.03,2.21
nasalalalength_r,27,28,3,110,32.85,2.79
nasalalalength_l,27,28,1,37,35.18,2.55
nasalalalength_l,27,28,3,110,32.93,2.88
nasalheight,27,28,1,37,56.03,3.89
nasalheight,27,28,3,110,55.92,3.7
nasalbdglength,27,28,1,37,49.59,3.71
nasalbdglength,27,28,3,110,48.99,3.64
labfiswidth,27,28,1,37,51.25,3.37
labfiswidth,27,28,3,110,49.32,3.5
philwidth,27,28,1,37,13.3,2.32
philwidth,27,28,3,110,12.18,1.99
phillength,27,28,1,37,17,2.61
phillength,27,28,3,110,15.17,2.83
uplipheight,27,28,1,37,23.04,2.41
uplipheight,27,28,3,110,21.3,2.83
lowlipheight,27,28,1,35,19.06,2.58
lowlipheight,27,28,3,108,18.09,2.43
upvermheight,27,28,1,37,7.35,1.4
upvermheight,27,28,3,110,7.37,1.42
lowvermheight,27,28,1,37,8.36,1.74
lowvermheight,27,28,3,110,8.5,1.92
cutlowlipheight,27,28,1,35,12.6,2.93
cutlowlipheight,27,28,3,108,11.46,2.5
maxcranwidth,27,28,2,70,146.27,5.46
minfrntwidth,27,28,2,70,103.49,6.46
maxfacewidth,27,28,2,70,129.73,5.21
mandwidth,27,28,2,68,97.25,12.98
maxcranlength,27,28,2,70,187.87,5.82
cranbasewidth,27,28,2,70,138.59,4.56
upfacedepth_r,27,28,2,70,119.47,3.92
upfacedepth_l,27,28,2,72,119.32,3.76
midfacedepth_r,27,28,2,70,124.62,4.29
midfacedepth_l,27,28,2,72,124.42,4.3
lowfacedepth_r,27,28,2,69,140.7,5.87
lowfacedepth_l,27,28,2,70,140.1,5.85
morphfaceheight,27,28,2,71,118.95,5.98
upfaceheight,27,28,2,73,75.25,4.26
lowfaceheight,27,28,2,71,65.72,4.93
incanthwidth,27,28,2,73,31.44,3
outcanthwidth,27,28,2,70,85.34,4.07
palpfislength_r,27,28,2,70,27.87,1.79
palpfislength_l,27,28,2,70,27.49,1.8
nasalwidth,27,28,2,73,32.63,2.38
subnasalwidth,27,28,2,73,17.82,2.19
nasalpro,27,28,2,73,20.26,2.22
nasalalalength_r,27,28,2,73,31.74,2.38
nasalalalength_l,27,28,2,73,31.79,2.33
nasalheight,27,28,2,73,55.86,3.63
nasalbdglength,27,28,2,73,48.69,3.59
labfiswidth,27,28,2,73,48.34,3.16
philwidth,27,28,2,73,11.62,1.54
phillength,27,28,2,73,14.24,2.47
uplipheight,27,28,2,73,20.42,2.63
lowlipheight,27,28,2,73,17.63,2.23
upvermheight,27,28,2,73,7.39,1.45
lowvermheight,27,28,2,73,8.56,2.02
cutlowlipheight,27,28,2,73,10.91,2.07
maxcranwidth,28,29,2,56,145.66,4.31
maxcranwidth,28,29,3,84,147.98,5.83
minfrntwidth,28,29,2,55,104.82,7.09
minfrntwidth,28,29,3,83,107.3,8.2
maxfacewidth,28,29,2,55,130.56,5.14
maxfacewidth,28,29,3,80,132.21,6.03
mandwidth,28,29,2,56,97.66,5.11
mandwidth,28,29,3,84,100.21,6.91
maxcranlength,28,29,2,56,188.54,6.84
maxcranlength,28,29,3,84,191.67,8.04
cranbasewidth,28,29,2,57,139.03,4.64
cranbasewidth,28,29,3,85,141.83,6.6
upfacedepth_r,28,29,2,59,119.14,4.13
upfacedepth_r,28,29,3,87,121.04,5.43
upfacedepth_l,28,29,2,57,119.03,4.11
upfacedepth_l,28,29,3,85,120.96,5.36
midfacedepth_r,28,29,2,59,124.04,4.5
midfacedepth_r,28,29,3,87,126.55,5.87
midfacedepth_l,28,29,2,57,123.58,4.31
midfacedepth_l,28,29,3,85,126.17,5.87
lowfacedepth_r,28,29,2,59,139.84,6.28
lowfacedepth_r,28,29,3,87,143.34,8.1
lowfacedepth_l,28,29,2,57,139.16,6.17
lowfacedepth_l,28,29,3,85,142.87,8.24
morphfaceheight,28,29,2,60,118.91,5.81
morphfaceheight,28,29,3,88,120.91,6.76
upfaceheight,28,29,2,60,74.35,4.46
upfaceheight,28,29,3,88,75.24,4.64
lowfaceheight,28,29,2,60,67.02,4.9
lowfaceheight,28,29,3,88,68.72,5.63
incanthwidth,28,29,2,60,31.06,2.92
incanthwidth,28,29,3,88,31.57,2.95
outcanthwidth,28,29,2,58,85.46,3.85
outcanthwidth,28,29,3,86,86.57,4.04
palpfislength_r,28,29,2,58,28.05,1.74
palpfislength_r,28,29,3,86,28.37,1.8
palpfislength_l,28,29,2,58,27.87,2.1
palpfislength_l,28,29,3,86,28.06,2
nasalwidth,28,29,2,60,32.53,2.18
nasalwidth,28,29,3,88,33.68,2.94
subnasalwidth,28,29,2,60,17.16,2.15
subnasalwidth,28,29,3,88,17.51,2.35
nasalpro,28,29,2,60,20.3,1.95
nasalpro,28,29,3,88,20.61,2.12
nasalalalength_r,28,29,2,60,31.43,1.67
nasalalalength_r,28,29,3,88,32.91,3.04
nasalalalength_l,28,29,2,60,31.41,1.57
nasalalalength_l,28,29,3,88,32.89,2.92
nasalheight,28,29,2,60,54.48,3.73
nasalheight,28,29,3,88,54.82,4.03
nasalbdglength,28,29,2,60,46.91,3.93
nasalbdglength,28,29,3,88,47.67,4.34
labfiswidth,28,29,2,60,47.86,3.25
labfiswidth,28,29,3,88,48.86,3.93
philwidth,28,29,2,60,11.69,1.48
philwidth,28,29,3,88,12.09,1.67
phillength,28,29,2,60,14.59,2.31
phillength,28,29,3,88,15.13,2.55
uplipheight,28,29,2,60,20.69,2.46
uplipheight,28,29,3,88,21.35,2.61
lowlipheight,28,29,2,60,17.84,1.86
lowlipheight,28,29,3,88,18.02,2.08
upvermheight,28,29,2,60,7.26,1.33
upvermheight,28,29,3,88,7.39,1.35
lowvermheight,28,29,2,60,8.2,2.02
lowvermheight,28,29,3,88,8.25,1.94
cutlowlipheight,28,29,2,60,11.36,1.98
cutlowlipheight,28,29,3,88,11.55,2.2
maxcranwidth,28,29,1,28,152.61,5.78
minfrntwidth,28,29,1,28,112.18,8.14
maxfacewidth,28,29,1,25,135.84,6.34
mandwidth,28,29,1,28,105.32,7.3
maxcranlength,28,29,1,28,197.93,6.51
cranbasewidth,28,29,1,28,147.54,6.38
upfacedepth_r,28,29,1,28,125.04,5.71
upfacedepth_l,28,29,1,28,124.88,5.55
midfacedepth_r,28,29,1,28,131.85,4.84
midfacedepth_l,28,29,1,28,131.45,5.06
lowfacedepth_r,28,29,1,28,150.73,6.38
lowfacedepth_l,28,29,1,28,150.43,6.61
morphfaceheight,28,29,1,28,125.22,6.73
upfaceheight,28,29,1,28,77.16,4.49
lowfaceheight,28,29,1,28,72.34,5.43
incanthwidth,28,29,1,28,32.68,2.73
outcanthwidth,28,29,1,28,88.85,3.46
palpfislength_r,28,29,1,28,29.03,1.76
palpfislength_l,28,29,1,28,28.44,1.74
nasalwidth,28,29,1,28,36.14,2.88
subnasalwidth,28,29,1,28,18.26,2.6
nasalpro,28,29,1,28,21.29,2.34
nasalalalength_r,28,29,1,28,36.08,2.91
nasalalalength_l,28,29,1,28,36.06,2.61
nasalheight,28,29,1,28,55.54,4.61
nasalbdglength,28,29,1,28,49.3,4.78
labfiswidth,28,29,1,28,50.99,4.44
philwidth,28,29,1,28,12.95,1.74
phillength,28,29,1,28,16.29,2.68
uplipheight,28,29,1,28,22.77,2.4
lowlipheight,28,29,1,28,18.41,2.5
upvermheight,28,29,1,28,7.68,1.38
lowvermheight,28,29,1,28,8.35,1.78
cutlowlipheight,28,29,1,28,11.95,2.6
maxcranwidth,29,30,2,39,145.59,6.18
maxcranwidth,29,30,3,70,148.94,7.3
minfrntwidth,29,30,2,38,106.32,7.63
minfrntwidth,29,30,3,70,108.14,8.74
maxfacewidth,29,30,2,36,128.64,6.37
maxfacewidth,29,30,3,67,133,8.82
mandwidth,29,30,2,39,97.46,5.98
mandwidth,29,30,3,70,101.69,8.22
maxcranlength,29,30,2,39,186.49,6.51
maxcranlength,29,30,3,70,192.47,9.65
cranbasewidth,29,30,2,38,139.56,5.06
cranbasewidth,29,30,3,71,144.37,7.22
upfacedepth_r,29,30,2,38,120.02,4.07
upfacedepth_r,29,30,3,71,124.43,6.05
upfacedepth_l,29,30,2,38,119.7,4.11
upfacedepth_l,29,30,3,71,123.79,6.12
midfacedepth_r,29,30,2,38,124.43,4.25
midfacedepth_r,29,30,3,71,129.88,7.2
midfacedepth_l,29,30,2,38,123.99,4.05
midfacedepth_l,29,30,3,71,128.92,7.03
lowfacedepth_r,29,30,2,38,139.75,5.75
lowfacedepth_r,29,30,3,70,146.94,9.86
lowfacedepth_l,29,30,2,38,139.48,5.24
lowfacedepth_l,29,30,3,70,146.23,9.41
morphfaceheight,29,30,2,38,118.79,4.82
morphfaceheight,29,30,3,70,123.12,7.55
upfaceheight,29,30,2,39,74.69,4.17
upfaceheight,29,30,3,72,76.38,4.88
lowfaceheight,29,30,2,38,66.17,3.93
lowfaceheight,29,30,3,70,70.01,6.27
incanthwidth,29,30,2,39,30.87,2.24
incanthwidth,29,30,3,72,31.57,2.49
outcanthwidth,29,30,2,39,85.13,4.52
outcanthwidth,29,30,3,72,87.1,4.72
palpfislength_r,29,30,2,39,27.86,2.14
palpfislength_r,29,30,3,72,28.58,2.17
palpfislength_l,29,30,2,39,27.76,2.21
palpfislength_l,29,30,3,72,28.31,2.28
nasalwidth,29,30,2,39,32.22,2.22
nasalwidth,29,30,3,72,34.5,3.42
subnasalwidth,29,30,2,39,17.73,2.99
subnasalwidth,29,30,3,72,18.57,2.9
nasalpro,29,30,2,39,19.47,1.88
nasalpro,29,30,3,72,20.15,2.11
nasalalalength_r,29,30,2,39,31.3,1.78
nasalalalength_r,29,30,3,72,33.5,2.99
nasalalalength_l,29,30,2,39,31.44,1.71
nasalalalength_l,29,30,3,72,33.68,3.1
nasalheight,29,30,2,39,54.99,3.1
nasalheight,29,30,3,72,55.51,3.91
nasalbdglength,29,30,2,39,48,2.99
nasalbdglength,29,30,3,72,48.76,3.83
labfiswidth,29,30,2,39,49.24,2.86
labfiswidth,29,30,3,72,50.45,3.47
philwidth,29,30,2,39,11.95,1.59
philwidth,29,30,3,72,12.7,1.87
phillength,29,30,2,39,14.42,2.35
phillength,29,30,3,72,15.99,2.91
uplipheight,29,30,2,39,20.65,2.34
uplipheight,29,30,3,72,21.93,2.57
lowlipheight,29,30,2,39,17.7,2.07
lowlipheight,29,30,3,71,18.26,2.4
upvermheight,29,30,2,39,7.27,1.51
upvermheight,29,30,3,72,7.1,1.59
lowvermheight,29,30,2,39,8.58,1.43
lowvermheight,29,30,3,72,8.32,1.73
cutlowlipheight,29,30,2,39,10.85,2.35
cutlowlipheight,29,30,3,71,11.64,2.53
maxcranwidth,29,30,1,31,153.16,6.42
minfrntwidth,29,30,1,32,110.31,9.57
maxfacewidth,29,30,1,31,138.06,8.63
mandwidth,29,30,1,31,107,7.59
maxcranlength,29,30,1,31,200,7.43
cranbasewidth,29,30,1,33,149.91,5.06
upfacedepth_r,29,30,1,33,129.5,3.37
upfacedepth_l,29,30,1,33,128.5,4.43
midfacedepth_r,29,30,1,33,136.16,4.08
midfacedepth_l,29,30,1,33,134.6,5.19
lowfacedepth_r,29,30,1,32,155.48,6.18
lowfacedepth_l,29,30,1,32,154.23,6.53
morphfaceheight,29,30,1,32,128.25,6.99
upfaceheight,29,30,1,33,78.37,4.95
lowfaceheight,29,30,1,32,74.56,5.44
incanthwidth,29,30,1,33,32.39,2.55
outcanthwidth,29,30,1,33,89.44,3.84
palpfislength_r,29,30,1,33,29.43,1.91
palpfislength_l,29,30,1,33,28.95,2.24
nasalwidth,29,30,1,33,37.2,2.5
subnasalwidth,29,30,1,33,19.56,2.5
nasalpro,29,30,1,33,20.94,2.12
nasalalalength_r,29,30,1,33,36.09,1.79
nasalalalength_l,29,30,1,33,36.32,2.14
nasalheight,29,30,1,33,56.12,4.67
nasalbdglength,29,30,1,33,49.66,4.51
labfiswidth,29,30,1,33,51.88,3.62
philwidth,29,30,1,33,13.58,1.81
phillength,29,30,1,33,17.85,2.39
uplipheight,29,30,1,33,23.44,1.96
lowlipheight,29,30,1,32,18.95,2.62
upvermheight,29,30,1,33,6.91,1.69
lowvermheight,29,30,1,33,8.02,2
cutlowlipheight,29,30,1,32,12.6,2.43
maxcranwidth,30,31,1,37,152.89,4.51
maxcranwidth,30,31,3,85,149.51,5.6
minfrntwidth,30,31,1,36,108.69,9.37
minfrntwidth,30,31,3,84,107.7,8.65
maxfacewidth,30,31,1,34,138.56,4.86
maxfacewidth,30,31,3,79,134.19,6.35
maxcranlength,30,31,1,36,199.58,7.05
maxcranlength,30,31,3,84,193.06,8.46
cranbasewidth,30,31,1,37,148.88,5.44
